OBJECTID,SoilKey,HorizonKey,HorizonDepthUpper,DepthMeasure,Texture,RockFragments,Effer,HorizonColorDry,HorizonColorMoist,StructGrade,StructShape,unused,Nomenclature,HorizonDepthLower,ESD_Horizon,ESD_HorizonModifier,ESD_FragVolPct,ESD_FragmentType,ESD_PetrocalcicRubble,ESD_Gypsic,ESD_PctClay,ESD_Hue,ESD_Value,ESD_Chroma,ESD_Color,ESD_Grade,ESD_Size,ESD_Structure,ESD_StructQual,ESD_Grade2,ESD_Size2,ESD_Structure2,ESD_RuptureResistance,ESD_ClayFilm,ESD_CarbonateStage,ESD_CaCO3EquivPct,ESD_EC,ESD_pH,ESD_GypsumPct,ESD_NAabsorptionRatio,ESD_Notes,ESD_PSAPctSand,ESD_PSAPctSilt,ESD_PSAPctClay,ESD_GravelClassPctFine,ESD_GravelClassPctMed,ESD_GravelClassPctCoarse,ESD_GravelCarbonateCoatPct,ESD_FragmentRoundness,ESD_RootSize,ESD_RootQty,ESD_PoresSize,ESD_PoresQty,ESD_SandFractPctVeryFine,ESD_SandFractPctFine,ESD_SandFractPctMed,ESD_SandFractPctCoarse,ESD_SandFractPctVeryCoarse,ESD_FragVolPct2,ESD_FragmentType2,ESD_FragVolPct3,ESD_FragmentType3,ESD_PctSand,ESD_LabGravelPctFine,ESD_LabGravelPctMed,ESD_LabGravelPctCoarse,DateLoadedInDb,PrimaryKey,DBKey,GlobalID
158599,180924161944953,1809241636183408,1.000000000000000,cm,SICL,0.000000000000000,ST,,,,,,,8.000000000000000,,,0,7,0,0,49.000000000000000,10YR,5,3.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18072607523797912018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{D45F2EAE-CDC4-4777-820C-ACC6F4607E76}
158600,180924161944953,1809251112194041,8.000000000000000,cm,SIC,0.000000000000000,ST,,,,,,,31.000000000000000,,,,,0,0,53.000000000000000,10YR,5,3.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18072607523797912018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{3DFA7981-8F5B-4527-ADB2-E55E18A6AE3B}
158601,180924161944953,1809251113252641,31.000000000000000,cm,SIC,0.000000000000000,ST,,,,,,,47.000000000000000,,,,,0,0,55.000000000000000,10YR,5,3.000000000000000,Moist,,,ABK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18072607523797912018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{E6547A12-7932-4C9C-9467-51ED4E3DB794}
158602,180924161944953,1809251114271329,47.000000000000000,cm,SIC,0.000000000000000,SL,,,,,,,61.000000000000000,,,,,0,0,55.000000000000000,2.5Y,5,2.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18072607523797912018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{4EEDA7E6-FEFB-4409-B9D4-FFAEDC880C0E}
158603,180924161944953,1809251115168230,61.000000000000000,cm,SIC,0.000000000000000,SL,,,,,,,70.000000000000000,,,,,0,0,55.000000000000000,2.5Y,4,4.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18072607523797912018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{033AD105-0019-4FDA-AB8B-81532BD5237A}
158604,1809251326518566,1809251327302785,0.000000000000000,cm,LS,35.000000000000000,VE,,,,,,,5.000000000000000,,,35,1,0,0,12.000000000000000,10YR,3,4.000000000000000,Moist,,,SG,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18071208214636302018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{0B2E97CD-E6F9-4997-A737-7F71E770C947}
158605,1809251326518566,1809251329286049,5.000000000000000,cm,LS,54.000000000000000,VE,,,,,,,17.000000000000000,,,54,1,0,0,10.000000000000000,10YR,4,4.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18071208214636302018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{4B69CE97-C976-4A05-A107-70EBE4412DC4}
158606,1809251326518566,1809251330231280,17.000000000000000,cm,SC,41.000000000000000,VE,,,,,,,33.000000000000000,,,41,1,0,0,37.000000000000000,10YR,5,4.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18071208214636302018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{0363E2EE-BA0F-46DF-8053-7CF3A9445232}
158607,1809251327321072,180925133040474,0.000000000000000,cm,SL,29.000000000000000,VE,,,,,,,10.000000000000000,,,29,1,0,0,17.000000000000000,10YR,3,6.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,1807121251101692018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{D2A6682C-B208-4A22-8C6E-9F6E2AB0A16E}
158608,1809251326518566,1809251335442673,33.000000000000000,cm,SCL,29.000000000000000,ST,,,,,,,70.000000000000000,,,29,1,0,0,32.000000000000000,10YR,4,4.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18071208214636302018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{7FE834B6-8DAD-42E1-A655-345FA83A8070}
